2025-07-15 09:08:37,817 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2025-07-15 09:08:39,633 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2025-07-15 09:08:51,091 - INFO - Phone migrated to 4
2025-07-15 09:08:51,267 - INFO - Reconnecting to new data center 4
2025-07-15 09:08:51,467 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2025-07-15 09:08:51,468 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2025-07-15 09:08:51,468 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2025-07-15 09:08:53,105 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2025-07-15 09:09:30,508 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:31,029 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:31,238 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:31,422 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:31,645 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:31,873 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:32,233 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:32,535 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:33,104 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:33,324 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:33,833 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:34,342 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:34,718 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:35,121 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:35,455 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:35,967 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:36,226 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:36,641 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:37,045 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:37,271 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:37,584 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:37,923 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:38,233 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:38,490 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:38,712 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:39,460 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:40,150 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:40,356 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:40,729 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:40,965 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:41,389 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:41,851 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:42,073 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:42,638 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:42,886 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:43,680 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:44,525 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:44,763 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:45,490 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:45,866 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:46,513 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:46,866 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:47,210 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:47,438 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:47,720 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:48,030 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:48,250 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:48,607 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
